CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
21193000,ANDOVER ST,BENTON AVE,,,,BENTON AVE intersection,,4978
21193000,BENTON AVE,ANDOVER ST,,,,ANDOVER ST intersection,,6687
21195000,BACHE ST,BENTON AVE,,,,BENTON AVE intersection,,5788
21195000,BENTON AVE,BACHE ST,,,,BACHE ST intersection,,6685
21197000,BACHE ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,5786
21197000,CRESCENT AVE,BACHE ST,,,,BACHE ST intersection,,10544
21198000,BENTON AVE,PORTER ST,,,,PORTER ST intersection,,6683
21198000,PORTER ST,BENTON AVE,,,,BENTON AVE intersection,,26901
21199000,BENTON AVE,ROSCOE ST,,,,ROSCOE ST intersection,,6681
21199000,ROSCOE ST,BENTON AVE,,,,BENTON AVE intersection,,28319
21200000,ANDOVER ST,RICHLAND AVE,,,,RICHLAND AVE intersection,,4974
21200000,RICHLAND AVE,ANDOVER ST,,,,ANDOVER ST intersection,,27971
21201000,ANDOVER ST,PARK ST,,,,PARK ST intersection,,4970
21201000,PARK ST,ANDOVER ST,,,,ANDOVER ST intersection,,26096
21202000,HIGHLAND AVE,ANDOVER ST,,,,ANDOVER ST intersection,,16755
21202000,ANDOVER ST,HIGHLAND AVE,,,,HIGHLAND AVE intersection,,4968
21203000,CRESCENT AVE,PORTER ST,,,,PORTER ST intersection,,10542
21203000,PORTER ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,26899
